Depth (m),Density (g/cc),DTCO (us/ft),DTSM (us/ft),Vp(0) (m/s),Vs(0) (m/s),v_iso_d,E_iso_d (Mpsi),Ev_d (Mpsi),Eh_d (Mpsi),vv_d,vh_d,Porosity,C11,C12,C13,C33,C44,Min Stress,Max Stress
3748.25,2.51,75.35,131.35,4045.11,2320.45,0.25,4.92,4.95,7.03,0.21,0.25,0.142771997,8.44719215,2.815330769,2.384374642,5.958468089,1.96073612,7701.906564,9546.517784
3748.38,2.51,75.43,132.38,4040.75,2302.54,0.26,4.87,4.9,6.98,0.22,0.25,0.713860016,8.44076426,2.865713193,2.43511232,5.950389385,1.932127349,7771.654189,9616.326925
3748.5,2.51,74.12,132.05,4112.03,2308.24,0.27,4.94,4.99,7.04,0.22,0.26,0.715299988,8.664412817,3.065435331,2.627026287,6.167057965,1.943250172,7900.182856,9744.917108
3748.63,2.51,72.81,131.4,4186.51,2319.68,0.28,5,5.08,7.1,0.23,0.26,0.71096199,8.865743939,3.24550345,2.800620513,6.372147891,1.956307726,8004.13241,9848.928177
3748.75,2.5,72,130.94,4233.37,2327.81,0.28,5.05,5.13,7.14,0.24,0.27,0.70156601,8.993318945,3.356486165,2.90752974,6.502600383,1.966111942,8062.814706,9907.67199
3748.88,2.49,71.93,130.93,4237.73,2327.95,0.28,5.02,5.11,7.11,0.24,0.27,0.687952042,8.960078041,3.352050588,2.904973019,6.482132651,1.956136144,8070.879642,9915.798441
3749,2.47,72.4,131.03,4209.98,2326.27,0.28,4.97,5.05,7.05,0.23,0.27,0.671080017,8.820803215,3.252287142,2.810786056,6.358953903,1.941531103,8024.170952,9869.151267
3749.13,2.48,73.32,131.04,4157.05,2326.05,0.27,4.95,5.01,7.03,0.23,0.26,0.653736038,8.683805806,3.100283558,2.662996994,6.217597443,1.946654004,7919.299627,9764.341457
3749.25,2.5,74.56,131.04,4088.02,2325.94,0.26,4.94,4.98,7.04,0.22,0.25,0.634939995,8.52951491,2.910342743,2.477330821,6.051606304,1.959029218,7774.477519,9619.580865
3749.38,2.52,75.29,131.29,4048.38,2321.52,0.26,4.95,4.98,7.07,0.21,0.25,0.614216003,8.494159907,2.833942704,2.400742968,5.994280453,1.971139728,7706.823053,9551.987915
3749.5,2.53,75.33,132.12,4046.38,2307.05,0.26,4.93,4.96,7.05,0.22,0.25,0.591625977,8.528490379,2.891291955,2.456456748,6.016863672,1.955922355,7766.523638,9611.750016
3749.63,2.53,75.53,132.92,4035.28,2293.15,0.26,4.86,4.9,6.98,0.22,0.25,0.567770004,8.467834431,2.896116441,2.46393013,5.964996438,1.926312527,7803.591827,9648.879721
